,input,target
26,يوم الصحة والرياضة بعشرة تشرين الأول هو عطلة وطنية مصممة للتوعية بصحة الناس.,شهر أكتوبر العشرة للصحة والرياضة هي عطلة وطنية مصممة لزيادة الوعي بصحة الناس.
27,بتريدني أطلع تحت الطبون؟,هل تريد أن ترى تحت الطب؟
28,خرج تساعدني ألاقي شنتايتي؟,الخروج يساعدني على مقابلة Centaiti؟
29,بتعمل ترتيبات سلفاً؟,هل الترتيبات مقدما؟
30,عم أتساعد. شكراً إلك.,أنا أساعدك شكرا لك.
31,بس تصير هنيك، سآل غير حدا، إذا ممكن.,فقط كن هينك ، لا يحصر ، إن أمكن.
32,بدي التحويلة أربعة وعشرين، إذا سمحت.,أريد أن أرتعش في العشرين من عمره ، إذا سمح به.
33,هي دولارين. عيف الباقي.,إنه اثنين دولار.
34,واحد هبمرغر وواحد تشيز برغر، إذا سمحت.,همبرغر واحد وورقة واحدة من البرجر ، إذا سمح بها.
35,شقد بتاخد عالعملية؟,كسر تأخذ العملية؟
36,بدنا ندفع كل واحد لحال مشان وجباتنا.,نريد أن ندفع كل واحد لحالة وجباتنا.
37,الموقع كان على كرسي بالصالة.,كان الموقع على كرسي في القاعة.
38,إذا سمحت صروف هي الينات لجنيهات.,إذا سمحت للأريكة ، فإن الجينات مخصصة للجنيهات.
39,بدي قاموس جيب، إذا سمحت.,أريد قاموس جيب ، إذا سمح به.
40,لشخصين عالساعة سبعة. الاسم واتانابي.,لشخصين سبعة. اسم Watanabe.
41,ساعتي. كانت سيكو رقمية.,كانت ساعتي.
42,رح يكون من دواعي سرورنا أنو نقدملك المشروب يلي بتختاروا، وبعدو العشا. في دليل كامل عن المشروبات يلي منقدمها بهالطيارة بدليل المعلومات تبع مجلتنا.,سيكون من دواعي سروري أن نقدم لك المشروب ، وسوف تختار ، وبعد العش. في دليل كامل على المشروبات ، فإن مقدمةها في الطائرة ، مع دليل المعلومات ، تليها مجلتنا.
43,ساكن بهالمنطقة؟,مقيم في المنطقة؟
44,وين محل الهدايا؟,أين هبة الهدايا؟
45,أنا عالأوتوستراد الأول جنب مورو باي.,أنا أول طريق سريع من خليج مورو.
46,بدي ساعة منبه، إذا سمحت.,أريد ساعة تنبيه ، إذا سمح بها.
47,بالمناسبة، اسمي هيروشي إيجيما.,بالمناسبة ، اسمي هيروشي إيجيما.
48,هاد القطار بوقف عند ليك فوريست، ما؟,هذا القطار هو توقف في بحيرة فورست ، ماذا؟
49,معظم اليابانيين بياكلوا أخطبوط وحبار.,معظم اليابانيين هم الأخطبوط والحطام.
50,ممكن بطاقتين درجة تانية ع شيكاغو، إذا سمحت؟,من المحتمل أن تكون بطاقتين من المرحلة الثانية على شيكاغو ، إذا سمحت؟
51,رحت ع نيويورك.,ذهبت في نيويورك.
52,شقد رقم الرحلة؟,رقم الرحلة الجوية؟
53,واحد لنيويورك، إذا سمحت.,واحد لنيويورك ، إذا سمح.
54,حوالي كم يوم.,حول عدد الأيام.
55,التاني عاليسار.,والثاني هو الأسار.
56,هي البطاقة، تمام؟,هل البطاقة مثالية؟
57,هون مكتب الاستقبال؟ في شي عيادة قريبة؟,هون مكتب الاستقبال؟ في شيء بالقرب من عيادة؟
58,بكفوا عشر دولارات بالتكسي؟,توقف عن عشرة دولارات بالضرائب؟
59,طعمة هاد غريبة.,تاما غريب.
60,إي. استنا، رح أجبلك واحد.,any.esta ، سأجعلك واحدة.
61,نص قنينة، إذا سمحت.,نص زجاجة ، إذا سمح.
62,لأ. شغلة بس مو غالية.,رقم العمل ، ولكن ليس باهظ الثمن.
63,عم تدور على شي؟,هل تدور حول شيء ما؟
64,أربع ليالي.,أربع ليال.
65,بدي جرابات.,اريد ان اكون حفر.
66,خرج تحسبو أقل لأنو في شوية وسخ؟,خروجك أقل لأنك قذر قليلاً؟
67,في واحد ضرب فيني. بعدين انتبهت أنو جزداني اختفى.,في أحدهم ، ثم لاحظت أنني اختفت.
68,مالي متأكد إذا أخدت لبس بكفي لرحلة تلات أسابيع.,مالي متأكد إذا كنت أرتدي ثوبًا لرحلة لأسابيع.
69,أيوا، بدنا نجرب نبيذ أبيض.,أيوا ، نريد تجربة النبيذ الأبيض.
70,إذا حدا سأل عني، قلون أني بكون بالكافيه.,إذا سأل أحد عني ، فأنت تقول إنني كافي.
71,متأكد أنو كان معي بالجيب الجواني للمانطو تبعي.,بالتأكيد ، كنت معي مع جيب الوشاح ، تبعه.
72,فيني آخد اسم ورقم الجهة يلي عم تتصل فيها؟,أين آخذ اسم وعدد الجانب المرتبط به؟
73,رح تدفعلي الخطوط الجوية مشان أشتري غراض شخصية ضرورية؟,هل ستفعل شركات الطيران ، وليس لشراء أغراض شخصية ضرورية؟
74,بدي غرفة مع حمام.,أريد غرفة مع حمام.
75,ما طلع شي من الماكينة؟,ماذا خرج من الجهاز؟
76,كان لازم تطلع بالرحلة تمانة تنين صفر، يلي طارت من خمسطعش دقيقة. طيب. بقدر زبطلك طيارة تانية.,كان لا بد من اعتبار الرحلة تنينًا صفرًا ، تليها دقيقة من خمسة. كما تحصل على طائرة ثانية.
77,في حدا فتحلي طردي.,في النهاية ، إنه أموالي.
78,آه، هاد ولا شي. أنت هون، عكل حال.,أوه ، هذا لا شيء. أنت هنا ، أنا آكل.
79,الخطوط الجوية اليابانية، رحلة رقم واحد تنين تلاتة.,الخطوط الجوية اليابانية ، الرحلة رقم واحد ، ثلاثة تنين.
80,بدي أشتري شامبو.,أريد شراء الشامبو.
81,معلش تقلي بس نوصل عالمركز المدني؟,ألا تقول ، لكننا نصل إلى المركز المدني؟
82,وين أقرب قصاب؟,أين تقع أقرب قصيدة؟
83,بدنا نضل أربع أيام من أول آب.,نريد أن نتقدم أربعة أيام من الأول من أغسطس.
84,اش اسم هديك الوردة؟,ما هو اسم هديتك؟
85,خمسطعش أيلول هو يوم احترام كبار السن.,الخامس من سبتمبر هو يوم احترام المسنين.
86,مافي صابون بغرفتي.,لا يوجد صابون في غرفتي.
87,في شي خرج آخدو مشان هالطفح؟,في شيء ما ، ذهبت إلى عدم الفائض؟
88,معلش تغير الصياغة للي قلتو هلئ؟,هل لا تغير الصيغة بالنسبة لي ، قلت؟
89,شقد رح يطول ليطلب؟,بدعة للذهاب طويلا للسؤال؟
90,خرج تعلي صوتك شوي، إذا سمحت؟,اخرج من صوتك ، إذا سمحت؟
91,شقد رح يطول قبل ما يطلع؟,العار سوف قبل وقت طويل ما يخرج؟
92,وين المعلومات الرياضية؟,أين هي المعلومات الرياضية؟
93,هاد القياس، يلي بتقول عليه قياس عادي، بيمشي.,هذا القياس ، يليه قياس عادي ، المشي.
94,وين رح تنتهي الجولة، وإيمت؟,أين ستنتهي الجولة ، وأنا؟
95,وين لازم غير القطار لحتى أوصل ع إدينبيره؟,أين هو الضروري بخلاف القطار من أجل الوصول إلى إدينبار؟
96,بدي أحط هاد بصندوق ودائع.,أريد وضع صندوق الودائع هذا.
97,وين بقدر أصرف مصراتي؟,أين أقضي ميسراتي؟
98,منقدر نترك غراضنا، ما عدا الغالية، بالباص؟,هل يمكننا ترك أغراضنا ، باستثناء الثمينة ، في الحافلة؟
99,ما عرفان هاد المبلغ ع فاتورتي مشان إيش.,لا أعرف هذا المبلغ على فاتورتي.
100,بدفع خمسين دولار.,عن طريق دفع خمسين دولار.
101,هلئ عرفت اش المشكلة.,كنت أعرف المشكلة.
102,آيكيدا معك. عندي حجز طاولة عالستة ونص المسا. بس بعتذر بدي أتأخر نص ساعة.,Iikdeh معك. لدي حجز طاولة على الستة ونص المساء. لكنني أعتذر ، أريد تأخير نص ساعة.
103,كم أونصة عطر فيني آخد بدون رسوم جمركية؟,كم أوقية من فيني تأخذ بدون واجبات جمركية؟
104,بس سياحة.,لكن السياحة.
105,تمام، وقع عليهون إذا سمحت. شلون بتريدو؟,حسنًا ، يسقطون عليه إذا سمحت. كيف تريد؟
106,عندك مقاعد لسا مشان عرض الليلة؟,هل لديك مقاعد ، ألا تظهر الليلة؟
107,بدي واحد كبير.,اريد واحدة كبيرة.
108,نمت لبعد منبه الستة ونص.,نمت للتنبيه الستة والنص.
109,أنا مصور مستقل.,أنا مصور مستقل.
110,موزعين الورق بيحسنوا يصرفولك دولاراتك فيش كازينو. نروح؟,موزعو الورق جيدون. نحن نذهب؟
111,عنا حوالي تلاتين نوع زيوت حمام.,عنا ، حوالي نوعين من زيوت الحمام.
112,رح يكون عندي اقتراح إلك الأسبوع الجاي.,سيكون لدي اقتراح لك الأسبوع المقبل.
113,شكراً. شقد سعر هالكفوف؟,شكرا.
114,لازم أروح. بدقلك بعدين.,لا بد لي من الذهاب. أنت بعدين.
115,بدي فوط استعمال مرة واحدة.,أريد استخدامه مرة واحدة.
116,منين أصلون سمكات الفراشة هدول؟,من أين تحصل على فراشة ، فراشة؟
117,بتصرفون لدولارات، إذا سمحت؟,هل تتصرف بالدولار ، إذا سمحت؟
118,حظنا كتير حلو. في عندون واحد قياس أربعة بمحل آلا موانا.,حظنا حلو للغاية. في واحد ، يتم قياس واحد من قبل أربعة في متجر Maanana.
119,في شي ليموزين؟,في ليموزينه؟
120,خرج حدا يدق يفيقني عالخمسة ونص بكرة الصبح؟,خرج مخرج يطرق لي خمسة ونص كرة الصباح؟
121,بفضل غرفة هادية.,بفضل غرفة هادئة.
122,بدي شوية مزيل مناكير.,أريد مزيل ماكارين الصغير.
123,بدي بطارية.,أريد بطارية.
124,في فرقة موسيقية لايف ولا دي جيه؟,في الفرقة لايف ودي جي؟
125,خرج أستأجر معدات غطس؟,خرج معدات الغوص المستأجرة؟
126,بدي أحجز غرفة لأربع أيام من تنين وعشرين كانون الأول.,أريد حجز غرفة من أربعة أيام في العشرين من كانون الأول (ديسمبر).
127,مناسبة هالشنتاية لكل حالات الجو؟,مناسبة لجميع حالات الطقس؟
128,بدي دونات، إذا ممكن.,أريد دونات ، إن أمكن.
129,بدي أستأجر سيارة أوتوماتيك يومين.,أريد استئجار سيارة أوتوماتيكية لمدة يومين.
130,روحت الرحلة عشرين لسان فرانسيسكو.,كانت الرحلة عشرين لسان فرانسيسكو.
131,بشقد عالمطار؟,مع هطول أمطار؟
132,تمام. إيمت هو؟,حسنًا ، هل هو؟
133,شقد عمر بنتك؟,عمر عمر ابنتك؟
134,خرج تعطيني فكرة عن فنادق رخيصة ونضيفة؟,أعطني فكرة عن الفنادق الرخيصة والإضافية؟
135,منقدر نحجزلك غرفة مريحة بقلعة قديمة قريبة عنادي غولف مشهور.,يمكننا أن نحتفظ بك غرفة مريحة مع قلعة قديمة ، غابة معروفة من الجولف.
136,أنا بنصح بهاد لأنو مصنوع من مكونات طبيعية مية بالمية.,أنصح Bahd لأنه مصنوع من مكونات طبيعية بالماء.
137,بوقف القطار ببرايتون؟,عن طريق إيقاف القطار مع أداة تمييز؟
138,خرج تقلي وين بقدر ألأقي تكسي؟,خرج واين بقدر سيارة أجرة؟
139,بطاقتين درجة تانية، إذا سمحت.,بطاقتين ثانيتين من الطبقة ، إذا سمح بها.
140,بدي أبعت فاكس.,أريد بيع الفاكس.
141,بدي مكواية سفرية.,اريد مؤامرة السفر.
142,بقدر أعرض عليك شي؟,بقدر ما أقدم لك شيئا؟
143,يومي؟ خوفان أسأل، بس اش قصدك؟,يوميًا؟ الخوف أسأل ، لكن ماذا تقصد؟
144,بدي واحد بيسع مستندات قياس ورق رسائل عادي بدون ما أضطر أطويون.,أريد أن يوسع المرء مستندات قياس الرسائل العادية دون الحصول على htage.
145,اي، بس مو كتير قوي.,هذا هو ، ليس قويا جدا.
146,بتحسس من القطط.,قطط بسيطة.
147,اي، لازم يكون عندك شهادة سواقة و، اه، لازم يكون عندك شهادة من لجنة التكسي والليموزين.,أي أنه يجب أن يكون لديك برنامج سائق وشهادة UH ، يجب أن يكون لديك شهادة من لجنة التاكسي والرسم.
148,تفضل، أستاذ.,من فضلك ، أستاذ.
149,ما عم بطلعلي مي سخنة.,لم أكن أعرف الماء.
150,بدي أحجز عرفة هالليلة.,أريد حجز عرفا هاليه.
151,لا، عدا الضريبة وكلفة الخدمة.,لا ، باستثناء الضريبة وتكلفة الخدمة.
152,بتحب تروح تتسوق معي المسا؟,هل تحب الذهاب للتسوق من أجلي؟
153,مرحبا، فستانك حلو كتير.,مرحبا ، فستانك حلو جدا.
154,هلئ، مكالمتك اتقبلت. تفضل إذا سمحت.,الجحيم ، يتم قبول مكالمتك.
155,شقد رقم البوابة؟,انخفاض عدد البوابة؟
156,اش هية الهدية التذكارية المعتادة من هاواي؟,ما هي الهدية التذكارية المعتادة من هاواي؟
157,بقدر أروح لهنيك بقطار الأنفاق؟,بقدر ما أذهب إليك مع الأنفاق؟
158,بدي سيشوار.,اريد رحلة.
159,رح نوصل لنتيجة إذا ضلينا عم نحكي هيك؟,سوف نصل إلى نتيجة إذا فاتنا ما نقوله؟
160,أنا من النرويج.,أنا من النرويج.
161,من العشرة للطنعش إذا سمحت.,من العشرة إلى القهوة إذا سمحت بذلك.
162,أكيد. خليني شوفو. أذاك مرجان، هيك بتوقع.,بالطبع. دعني أرى. هذا هو المرجان ، هيك.
163,من باب الاحتياط، خليني آخذ رقم الزلمة المسؤول.,كإجراء وقائي ، اسمحوا لي أن آخذ رقم Zalm المسؤول.
164,هاد أوتوستراد؟,هذا طريق سريع؟
165,ليش ما أجا عالحفلة امبارحة؟,لماذا لم تذهب إلى الحفلة؟
166,كان في حادث سير.,كان في حادث مروري.
167,عفواً، دقيت رقم غلط.,آسف ، كنت خطأ.
168,حط رقمك السري إذا سمحت.,ضع رقمك السري إذا سمحت بذلك.
169,ما بقدر أعدل الصورة.,بقدر صورة الصورة.
170,واحد تشيز برغر وعصير برتقان، إذا سمحت.,تشييسلر واحد وعصير ماهر ، إذا سمح.
171,هي جوازي السفر.,إنه راكب الركاب.
172,ليش، شكراً كتير إلك. آه، فيني أطلع لفوق الشي؟,لماذا ، شكرا جزيلا لك ، اسمحوا لي أن أنظر فوق شيء؟
173,ممكن بطاقتين للمسرحية الموسيقية يوم الجمعة الجاي؟,هل من الممكن لبطاقتين للعب الموسيقي يوم الجمعة؟
174,في مسافر تاني هنيك قال بيقدر يبدل محلات معك.,وقال إنه في مسافر ثانٍ ، يمكنه استبدال المتاجر معك.
175,فيني أمدد إقامتي؟,أين أقدم إقامتي؟
176,قول، بتعرف شي بيستاهل ينشاف هون؟,قل ، هل تعرف شيئًا يستحقه؟
177,لا، بدي أستأجر نص مجموعة مضارب وحذاء.,لا ، أريد استئجار نص من مجموعة من المضارب والأحذية.
178,خرج تعطيني خبر بس تلتقى الشنتاية الضايعة؟,أعطني الأخبار ، لكنك تقابل شنتا المفقودة؟
179,اش اسم هالحديقة الوطنية؟,ما هو اسم هذه الحديقة الوطنية؟
180,انقحطت.,انا دفعت.
181,وين في محل منيح للسياحة؟,أين متجر Minehtal؟
182,ممكن آخد شوية فواكه؟,هل يمكنني أخذ القليل من الفاكهة؟
183,خرج أجيب غدا هلئ؟,اخرج ، سأجيب غدا؟
184,بدي أصرف هدول الدولارات.,أريد أن أنفق الدولار.
185,بدي تكسي. أنا بساوث ماين وليبرتي.,أريد سيارة أجرة. أنا جنوب مين والحرية.
186,أكيد، بدك كيرلي؟,بالتأكيد ، هل تريد مجعد؟
187,هي دراقة مي تفاحة.,إنها تفاحة في مايو.
188,رح أعطيك وصفة. خدها عالصيدلية.,سأعطيك وصفة.
189,بتطلع طيارتنا تلات مرات بالأسبوع، التلاتا، الجمعة، والسبت.,يبحث الطيارون لدينا عن ثلاث مرات في الأسبوع ، Talata ، الجمعة والسبت.
190,غالي هاد، ما هيك؟,كان غالي ، ما هو هيك؟
191,اي، في عنا منو. رج نجهزلك ياه.,هذا هو ، في نمونا. ربما نجعلك سعيدا.
192,بتقدر تعيف غراضي للساعة تلاتة؟,هل يمكنك تحديد أغراض الساعة؟
193,لا، بس بدي أعدي.,لا ، لكني أريد الاستعداد.
194,بحسن أجز استأجر-سيارة هون؟,جيد ، لدي سيارة التوظيف؟
195,أنت أميركي؟,هل أنت أمريكي؟
196,لهالمحل، إذا سمحت.,للمتجر ، إذا سمح.
197,سيارتي متعطلة.,سيارتي خامدة.
198,وين ظل العيون؟,أين ظل العيون؟
199,بدنا زاوية هادية، إذا خرج.,نريد زاوية هادئة ، إذا خرجت.
200,هالتكسي مجاني شي؟,هالتي شيء مجاني؟
201,هي محطة اكسبريس؟,هل المحطة السريعة؟
202,إيمت لازم أجي؟,كنت بحاجة للمجيء؟
203,بدي بريق نبيذ أبيض صغير.,أريد تألق نبيذ أبيض صغير.
204,آه. فيني آخد وجبتي بعدين؟ مالي حاسس حالي منيح هلئ.,نعم. أين أتناول وجبتي ببعدين؟ مالي هو إحساسي الحالي بالخير.
205,بصراحة، عندي خبر. رح أتجوز.,بصراحة ، لدي أخبار. سوف أتزوج.
206,بنطلونات تانية؟,سراويل ثانية؟
207,خرج آخد برنامج؟,خرجت من برنامج؟
208,انفشت غرفتي امبارحة بالليل.,كانت غرفتي تتنفس في الليل ليلًا.
209,فرجيني السمكة يلي شفتها اليوم بكتاب الصور، إذا سمحت.,Ferjini تتبعها السمك اليوم مع كتاب الصور ، إذا سمح بها.
210,شوف التعليمات على علبة الأكل المفضاية من الهوا.,انظر التعليمات على صندوق الطعام الذي يتم تقديمه من الهواء.
211,بدي مصاري ورق.,اريد قدري.
212,شدلي جزداني وهرب بعيد.,شاداني وهرب بعيدا.
213,ما عندك دروس تجريبية؟,ليس لديك دروس تجريبية؟
214,وين بحسن أشتري طوابع بريدية؟,من أين أشتري طوابع البريد؟
215,أنا من بريطانيا العظمى.,انا من بريطانيا العظمى.
216,بدي أشوف الموضوع مع مرتي.,أريد أن أرى الموضوع مع وقتي.
217,بدي أرجع هاد.,أريد أن أعيد هذا.
218,في كولبة تلفون قدام هدك البنك.,في كولابا ، هاتف أمام البنك.
219,رح أوصل بتسعة آذار وأطلع بأربطعش.,سأصل إلى تسعة مارس وأخرج من براز.
220,غالي شوي هاد، ما هيك؟,كان غالي شوي ، ما هو هيك؟
221,معك الوصل؟,معك آل واسل؟
222,وين موقف الباص؟,أين هو موقف الحافلة؟
223,بتريد تحلاية؟,هل تريد أن يكون لديك ما وراء؟
224,أنت بتحكي؟,هل تتكلم عن؟
225,نفس الشي إلي، إذا سمحت.,نفس الشيء ، إذا سمحت.
226,ما وصل طلبي.,طلبي لم يصل.
227,في كتير ينابيع حارة.,في العديد من الينابيع الساخنة.
228,إذا سمحت صروف خميس ألف ين لدولارات أمريكية.,إذا كان Khamis Yen ، Khamis ، يسمح للدولار الأمريكي.
229,عادي بالنسبة إلي. بصراحة أنا بدي أدخن.,طبيعي بالنسبة لي.
230,وين بقدر أستأجر أدوات تزلج وأحذية؟,أين أستأجر التزلج والأحذية؟
231,نسيت مشاريبنا؟,نسينا أسيادنا؟
232,بتحسن تبعتو على عنواني باليابان ببريد الطرود العالمي؟,تحسنت ، هل اتبعت عنواني في اليابان مع Parcel Post؟
233,بدي كاسة نبيذ أحمر.,اريد كوب النبيذ الأحمر.
234,بس إذا كانت إلك، أستاذ. ها ها، مزحة صغيرة.,ولكن إذا كنت ، أستاذ.
235,أكيد. شلون فينا نخدمك؟,بالطبع. كيف نخدمك؟
236,عنا بيرة، ويسكي، براندي، جين، فودكا ونبيذ.,بالنسبة لنا ، البيرة ، الويسكي ، العلامة التجارية ، في ، الفودكا والنبيذ.
237,هوية. أوه، طيب. بصير جواز؟,تحديد الهوية ، OK.Basir هو جواز سفر؟
238,رقم غرفتي تلاتة ستة وعشرين. بتقدر تاخد غسيلاتي؟,رقم غرفتي هو عشرين -هل يمكنك أن تأخذ بلدي الغسيل؟
239,رح شوف إذا شي منون بيزبط.,سأرى ما إذا كان هناك شيء ملزم.
240,بدي غلاية.,اريد غلاية.
241,جبلي شوية جبنة مبشورة.,القليل من الجبن المبشور.
242,خرج تكون قمصاني نضفانة بكرة الصبح؟,أخرج من قمصاني ، قدمنا كرة الصباح؟
243,بتخليه يرجع يدقلي؟,هل تعود إلي؟
244,ليش طيب؟,لماذا اذن؟
245,عفواً. في مكتبة قريبة هون؟,آسف. في مكتبة قريبة؟
246,بظن أنك غلطت. الغرفة كانت مسبقة الدفع. معي وصل.,اعتقدت أنك مخطئ. تم دفع الغرفة مسبقًا. وصلتني.
247,الباص هنيك.,حافلة هنك.
248,بدي شريطين أيزو مية، فيلم ملون، ستا وتلاتين صورة، إذا سمحت.,أريد شريطين من ISO Mate ، فيلم ملون ، STA وثلاثة صور ، إذا سمح به.
249,بدي أصرف هاد الشيك بسبعين دولار.,أريد أن أنفق هذا الشيك بسبعين دولار.
250,بدي أشتري طوابع لعشر كروت بريدية لليابان، إذا سمحت.,أريد شراء الطوابع لعشر بطاقات بريد لليابان ، إذا سمح بها.
251,في شي بنوك قريبة عالمحطة؟,في شيء قريب من العالم؟
252,للأسف في غلط بالفاتورة.,لسوء الحظ ، الفاتورة خاطئة.
253,هو هنيك.,هو هنك.
254,واحد تشيز برغر سفري، إذا سمحت.,برجر جبنة واحد ، إذا سمح.
255,فعلاً ما عاد تقدر تشتغل تصميم بدون كومبيوتر.,في الواقع ، لم يعد بإمكانك تشغيل تصميم بدون جهاز كمبيوتر.
256,ركوض.,حكمت.
257,في شق هون ببلوزتي. إذا خرج تخيطلي ياه، إذا سمحت؟,في شق Hoos مع بلوزة بلدي. إذا خرجت ، تذهب ، إذا سمحت؟
258,شقد الأجرة لمانشيستر؟,أجرة لمانشستر؟
259,خرج تعيرني كبل تشباية؟,الخروج لي الملفوف ، الزانية؟
260,وين خرج أشتري حصيرة شاطئ؟,من أين اشتريت حصيرة الشاطئ؟
261,معناها، إذا سمحت عملي حجز جديد.,معناها ، إذا سمحت بحجزتي الجديدة.
262,عطيني شريحة الخنزير هديك، بس مو سميكة قدها.,أعطني شريحة لحم الخنزير ، ولكن ليس سميكًا.
263,جايين عالسبعة.,جايين هو سبعة.
264,لما بشوف الأسعار قليلة كل هاد، بحس بسخافة الشراء باليابان.,عندما نرى أسعار القليل من هذا ، مع شعور بالسخافة من الشراء في اليابان.
265,سجلاتي انسرقت كمان.,سجلت سجلاتي أيضا.
266,كورنيه بوظة بالفانيلا، إذا سمحت.,آيس كريم الفانيليا ، إذا سمح.
267,بوافقك. لازم يصير كتير طبيعي.,أوافق. يجب أن تصبح طبيعية.
268,انتبه عالحفرة، انتبه عالحفرة، بعدين جنب البواب، إذا سمحت.,انتبه إلى الحفرة ، انتبه إلى الحفرة ، ثم حارس بوابة ، إذا سمح بذلك.
269,بدي بطاقة ائتمان.,اريد بطاقة ائتمان.
270,هي الرقم.,هذا هو الرقم.
271,قلي وين في محل حلو عالنهر، إذا ممكن.,Fry Wayne في مكان حلو نهر ، إن أمكن.
272,إذا سمحت عطيني تقرير عن الحادث.,إذا أعطتني تقريرًا عن الحادث.
273,لا، شكراً هلئ.,لا، شكرا.
274,أوكي، إذا سمحت خليك عالخط. أستاذ ناكاجيما، الهيئة آنسة سايتو ما عم ترد عالمكالمة. بتريدني ضل عم دقلها كمان شوي؟,حسنًا ، إذا سمحت لك بالاتصال. Professor Nakagima ، الجسد ، الآنسة Saito ، لا يستجيب للعالم. هل تريد مني الذهاب إلى عم Daglha ، أيضًا؟
275,يمكن، بس لازم نوزنون لحال.,هذا ممكن ، لكننا بحاجة إلى وضع.
276,كأنو شوي كتير ني.,كما لو كان القليل جدا.
277,وين استلام الشناتي للرحلة سبعة صفر تلاتة؟,أين استلم الشاناتي الرحلة سبعة صفر ثلاثة؟
278,في شي غلط بمسكتك.,في شيء خاطئ في صمتك.
279,رح يكب هاد؟,هل ستحصل؟
280,لا، شكراً. أحسن شي ما أعود أشرب.,لا شكرا لك. أفضل شيء هو العودة.
281,إذا سمحت قلي وين في شوارع خرج تسوق.,إذا سمحت بقلي واين في شوارع التسوق.
282,بروح هالباص ع فندق هيلتون؟,بروح الحافلة في فندق هيلتون؟
283,هلئ، هاللوحة كتير مميزة. رسمها تسوروتارو كاتاوكا. هو فنان عالمي معروف.,هالا ، هذه اللوحة مميزة للغاية. تم رسمها بواسطة Tzuruaro Katawuka.he هو فنان دولي معروف جيدًا.
284,كتير بحب الموسيقى الكلاسيكية.,أنا أحب الموسيقى الكلاسيكية.
285,خرج أعزمك عالعشا برا شي يوم؟,خرجت لأني أن تعيش في يوم واحد؟
286,طيب. اش اسم الجهة تبعتك والرقم، إذا سمحت.,جيد. ما هو اسم الحزب والرقم ، إذا سمحت بذلك.
287,عفواً. خليني أطلع، إذا سمحت.,آسف. دعني أخرج ، إذا سمحت بذلك.
288,خرج تصيح لشي موظف بيحكي ياباني؟,خرج وهو يصرخ من أجل موظف ياباني؟
289,منزور قرايبيننا كتير.,نحن نسبي جدا.
290,ميكي هاياكاوا. هي الغرفة سبعة صفر تنين.,Mickey Hayawa.it هي الغرفة Seven Zero Dragon.
291,لازم أضل هون المسا، ما؟ خرج تساعدني أحجز غرفة فندق؟,لا بد لي من الضلال ، ماذا؟ الخروج ساعدني في حجز غرفة فندق؟
292,ما لازم يطول. خمسطعش دقيقة بالكتير.,ما هو ضروري. دقيقة مع دقيقة.
293,بتقدر تقلي شقد كلفة هالمكالمة؟,هل يمكنك أن تقلى تكلفة هذه المكالمة؟
294,طيب، خرج تقلها أني دقيت، إذا سمحت؟ رح أرجع أدقلها بعدين.,حسنًا ، خرجت أنني كنت صعبة ، إذا سمحت؟ سأعود إلى بعدين.
295,في شي جولة صباحية؟,في شيء في جولة الصباح؟
